fonte,entities,years,values
Wind,367191,2000,0.0
Wind,367191,2001,0.0
Wind,367191,2002,0.0
Wind,367191,2003,0.0
Wind,367191,2004,0.0
Wind,367191,2005,0.02
Wind,367191,2006,0.05
Wind,367191,2007,0.06
Wind,367191,2008,0.06
Wind,367191,2009,0.07
Wind,367191,2010,0.1
Wind,367191,2011,0.13
Wind,367191,2012,0.26
Wind,367191,2013,0.45
Wind,367191,2014,0.53
Wind,367191,2015,1.26
Wind,367191,2016,1.53
Wind,367191,2017,2.55
Wind,367191,2018,3.47
Wind,367191,2019,5.91
Wind,367191,2020,5.79
Wind,367191,2021,8.3
Wind,367191,2022,12.96
Wind,15,2000,0.0
Wind,15,2001,0.0
Wind,15,2002,0.0
Wind,15,2003,0.0
Wind,15,2004,0.0
Wind,15,2005,0.0
Wind,15,2006,0.0
Wind,15,2007,0.0
Wind,15,2008,0.0
Wind,15,2009,0.0
Wind,15,2010,0.0
Wind,15,2011,0.0
Wind,15,2012,0.0
Wind,15,2013,0.0
Wind,15,2014,0.0
Wind,15,2015,0.0
Wind,15,2016,0.0
Wind,15,2017,0.0
Wind,15,2018,0.0
Wind,15,2019,0.0
Wind,15,2020,0.0
Wind,15,2021,0.0
Wind,273,1965,0.0
Wind,273,1966,0.0
Wind,273,1967,0.0
Wind,273,1968,0.0
Wind,273,1969,0.0
Wind,273,1970,0.0
Wind,273,1971,0.0
Wind,273,1972,0.0
Wind,273,1973,0.0
Wind,273,1974,0.0
Wind,273,1975,0.0
Wind,273,1976,0.0
Wind,273,1977,0.0
Wind,273,1978,0.0
Wind,273,1979,0.0
Wind,273,1980,0.0
Wind,273,1981,0.0
Wind,273,1982,0.0
Wind,273,1983,0.0
Wind,273,1984,0.0
Wind,273,1985,0.0
Wind,273,1986,0.0
Wind,273,1987,0.0
Wind,273,1988,0.0
Wind,273,1989,0.0
Wind,273,1990,0.0
Wind,273,1991,0.0
Wind,273,1992,0.0
Wind,273,1993,0.002
